ForumParticipation,ForumView,Assessment,Resource
1,13,0,14
1,7,2,123
0,16,11,418
3,10,0,650
0,0,0,1
1,20,0,26
1,48,11,528
1,14,13,616
1,7,8,242
0,5,15,268
2,7,9,340
1,24,12,379
1,14,13,701
0,3,15,356
1,9,9,421
1,14,8,285
1,12,12,275
1,10,8,427
0,19,14,305
2,2,8,143
1,10,8,258
1,3,8,170
0,20,7,332
2,39,7,461
0,1,8,201
0,7,7,386
0,9,7,242
1,11,8,349
1,18,18,251
1,7,13,263
1,7,7,238
1,8,18,391
1,9,15,296
1,10,19,333
0,17,7,218
0,2,13,303
1,5,8,373
0,13,7,383
1,6,8,288
0,18,9,398
1,7,9,214
0,15,11,372
0,29,9,661
0,24,10,307
1,17,10,346
1,30,11,437
1,27,13,535
1,25,11,279
0,8,9,501
1,15,11,266
2,28,8,375
1,6,18,239
0,4,8,236
1,13,16,321
0,4,8,428
1,10,8,320
0,1,7,252
1,24,13,378
1,8,11,257
1,16,7,282
0,11,10,216
1,5,8,362
1,4,10,368
1,16,8,259
1,21,10,561
0,2,8,227
1,10,11,386
1,20,10,406
1,18,9,288
0,12,12,459
0,14,9,414
1,4,10,240
0,9,8,367
0,6,10,241
0,6,9,368
1,15,8,281
1,78,7,601
1,10,8,547
0,28,7,352
1,15,6,425
1,12,8,312
1,11,8,337
5,26,10,737
1,5,11,281
1,7,10,321
2,17,10,380
1,36,10,546
3,13,12,419
1,18,8,319
1,16,8,328
2,11,7,229
1,47,10,377
0,5,15,349
0,7,7,344
1,6,8,213
1,41,8,805
1,6,14,402
0,6,16,456
0,3,14,467
0,14,7,370
0,16,9,347
0,3,13,553
0,0,7,286
0,2,10,186
2,31,9,432
1,14,10,483
1,21,10,289
0,2,7,313
1,63,10,657
0,2,8,249
0,6,8,350
1,29,14,400
1,19,8,253
1,7,7,268
0,20,8,298
0,12,9,368
0,20,8,391
0,7,8,302
0,5,7,382
0,3,8,168
1,22,8,472
0,0,12,397
0,2,8,242
1,22,10,315
0,8,10,256
1,6,13,256
0,3,9,406
0,6,7,336
0,12,13,601
0,2,8,356
0,6,18,399
