,User_id,Hit,Count
0,124,forum_participation,1
1,124,forum_view,13
2,124,resource,14
3,1661,assessment,2
4,1661,forum_participation,1
5,1661,forum_view,7
6,1661,resource,123
7,2155,assessment,11
8,2155,forum_view,16
9,2155,resource,418
10,2613,forum_participation,3
11,2613,forum_view,10
12,2613,resource,650
13,2614,resource,1
14,30,forum_participation,1
15,30,forum_view,20
16,30,resource,26
17,3385,assessment,11
18,3385,forum_participation,1
19,3385,forum_view,48
20,3385,resource,528
21,3386,assessment,13
22,3386,forum_participation,1
23,3386,forum_view,14
24,3386,resource,616
25,3387,assessment,8
26,3387,forum_participation,1
27,3387,forum_view,7
28,3387,resource,242
29,3388,assessment,15
30,3388,forum_view,5
31,3388,resource,268
32,3389,assessment,9
33,3389,forum_participation,2
34,3389,forum_view,7
35,3389,resource,340
36,3390,assessment,12
37,3390,forum_participation,1
38,3390,forum_view,24
39,3390,resource,379
40,3391,assessment,13
41,3391,forum_participation,1
42,3391,forum_view,14
43,3391,resource,701
44,3392,assessment,15
45,3392,forum_view,3
46,3392,resource,356
47,3393,assessment,9
48,3393,forum_participation,1
49,3393,forum_view,9
50,3393,resource,421
51,3394,assessment,8
52,3394,forum_participation,1
53,3394,forum_view,14
54,3394,resource,285
55,3395,assessment,12
56,3395,forum_participation,1
57,3395,forum_view,12
58,3395,resource,275
59,3396,assessment,8
60,3396,forum_participation,1
61,3396,forum_view,10
62,3396,resource,427
63,3397,assessment,14
64,3397,forum_view,19
65,3397,resource,305
66,3398,assessment,8
67,3398,forum_participation,2
68,3398,forum_view,2
69,3398,resource,143
70,3399,assessment,8
71,3399,forum_participation,1
72,3399,forum_view,10
73,3399,resource,258
74,3400,assessment,8
75,3400,forum_participation,1
76,3400,forum_view,3
77,3400,resource,170
78,3401,assessment,7
79,3401,forum_view,20
80,3401,resource,332
81,3402,assessment,7
82,3402,forum_participation,2
83,3402,forum_view,39
84,3402,resource,461
85,3403,assessment,8
86,3403,forum_view,1
87,3403,resource,201
88,3404,assessment,7
89,3404,forum_view,7
90,3404,resource,386
91,3405,assessment,7
92,3405,forum_view,9
93,3405,resource,242
94,3406,assessment,8
95,3406,forum_participation,1
96,3406,forum_view,11
97,3406,resource,349
98,3407,assessment,18
99,3407,forum_participation,1
100,3407,forum_view,18
101,3407,resource,251
102,3409,assessment,13
103,3409,forum_participation,1
104,3409,forum_view,7
105,3409,resource,263
106,3410,assessment,7
107,3410,forum_participation,1
108,3410,forum_view,7
109,3410,resource,238
110,3411,assessment,18
111,3411,forum_participation,1
112,3411,forum_view,8
113,3411,resource,391
114,3412,assessment,15
115,3412,forum_participation,1
116,3412,forum_view,9
117,3412,resource,296
118,3413,assessment,19
119,3413,forum_participation,1
120,3413,forum_view,10
121,3413,resource,333
122,3414,assessment,7
123,3414,forum_view,17
124,3414,resource,218
125,3415,assessment,13
126,3415,forum_view,2
127,3415,resource,303
128,3416,assessment,8
129,3416,forum_participation,1
130,3416,forum_view,5
131,3416,resource,373
132,3417,assessment,7
133,3417,forum_view,13
134,3417,resource,383
135,3418,assessment,8
136,3418,forum_participation,1
137,3418,forum_view,6
138,3418,resource,288
139,3419,assessment,9
140,3419,forum_view,18
141,3419,resource,398
142,3420,assessment,9
143,3420,forum_participation,1
144,3420,forum_view,7
145,3420,resource,214
146,3421,assessment,11
147,3421,forum_view,15
148,3421,resource,372
149,3422,assessment,9
150,3422,forum_view,29
151,3422,resource,661
152,3423,assessment,10
153,3423,forum_view,24
154,3423,resource,307
155,3424,assessment,10
156,3424,forum_participation,1
157,3424,forum_view,17
158,3424,resource,346
159,3425,assessment,11
160,3425,forum_participation,1
161,3425,forum_view,30
162,3425,resource,437
163,3426,assessment,13
164,3426,forum_participation,1
165,3426,forum_view,27
166,3426,resource,535
167,3427,assessment,11
168,3427,forum_participation,1
169,3427,forum_view,25
170,3427,resource,279
171,3428,assessment,9
172,3428,forum_view,8
173,3428,resource,501
174,3429,assessment,11
175,3429,forum_participation,1
176,3429,forum_view,15
177,3429,resource,266
178,3431,assessment,8
179,3431,forum_participation,2
180,3431,forum_view,28
181,3431,resource,375
182,3433,assessment,18
183,3433,forum_participation,1
184,3433,forum_view,6
185,3433,resource,239
186,3434,assessment,8
187,3434,forum_view,4
188,3434,resource,236
189,3435,assessment,16
190,3435,forum_participation,1
191,3435,forum_view,13
192,3435,resource,321
193,3436,assessment,8
194,3436,forum_view,4
195,3436,resource,428
196,3437,assessment,8
197,3437,forum_participation,1
198,3437,forum_view,10
199,3437,resource,320
200,3438,assessment,7
201,3438,forum_view,1
202,3438,resource,252
203,3439,assessment,13
204,3439,forum_participation,1
205,3439,forum_view,24
206,3439,resource,378
207,3440,assessment,11
208,3440,forum_participation,1
209,3440,forum_view,8
210,3440,resource,257
211,3441,assessment,7
212,3441,forum_participation,1
213,3441,forum_view,16
214,3441,resource,282
215,3442,assessment,10
216,3442,forum_view,11
217,3442,resource,216
218,3443,assessment,8
219,3443,forum_participation,1
220,3443,forum_view,5
221,3443,resource,362
222,3444,assessment,10
223,3444,forum_participation,1
224,3444,forum_view,4
225,3444,resource,368
226,3446,assessment,8
227,3446,forum_participation,1
228,3446,forum_view,16
229,3446,resource,259
230,3447,assessment,10
231,3447,forum_participation,1
232,3447,forum_view,21
233,3447,resource,561
234,3448,assessment,8
235,3448,forum_view,2
236,3448,resource,227
237,3449,assessment,11
238,3449,forum_participation,1
239,3449,forum_view,10
240,3449,resource,386
241,3450,assessment,10
242,3450,forum_participation,1
243,3450,forum_view,20
244,3450,resource,406
245,3451,assessment,9
246,3451,forum_participation,1
247,3451,forum_view,18
248,3451,resource,288
249,3453,assessment,12
250,3453,forum_view,12
